stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000157,157,Tolka Estate,,53.380412,-6.281638,,,,
8220DB000158,158,Griffith Road,,53.3814819498289,-6.28356395405038,,,,
8220DB000159,159,Griffith Parade,,53.3827837191573,-6.28283511246108,,,,
8220DB000164,164,Beneavin Road,,53.3884303639456,-6.28048792293046,,,,
8220DB000165,165,Beneavin Park,,53.3890348746718,-6.28377124881097,,,,
8220DB000166,166,Beneavin School,,53.3895835973683,-6.28630514857364,,,,
8220DB000167,167,Beneavin Road,,53.3901866021356,-6.28698758531706,,,,
8220DB000168,168,Beneavin Park,,53.3892599668872,-6.28442373469442,,,,
8220DB000169,169,Beneavin Court,,53.3884339346693,-6.28011190995853,,,,
8220DB000173,173,Glasnamana Place,,53.382122,-6.280547,,,,
8220DB000174,174,Tolka Estate,,53.3806803549474,-6.28095056210771,,,,
8220DB000175,175,Northland Grove,,53.378424,-6.281568,,,,
8220DB000176,176,Old Finglas Road,,53.378032,-6.279299,,,,
8220DB000177,177,Glasilawn Road,,53.380468,-6.276224,,,,
8220DB000178,178,Ballygall Road East,,53.38189,-6.276347,,,,
8220DB000179,179,Glasilawn Road,,53.380303,-6.276005,,,,
8220DB000180,180,Cremore Crescent,,53.3784395640865,-6.2763961751655,,,,
8220DB000181,181,Cremore Avenue,,53.37715,-6.274224,,,,
8220DB000182,182,Met Éireann,,53.375657,-6.269805,,,,
8220DB000183,183,Botanic Gardens,,53.3723159291215,-6.26875318486038,,,,
8220DB000184,184,Fairfield Road,,53.369704,-6.268979,,,,
8220DB000185,185,Wayfinding Centre,,53.368101,-6.270021,,,,
8220DB000186,186,Hart's Corner,,53.365355,-6.27159,,,,
8220DB000187,187,Munster Street,,53.362734,-6.272447,,,,
8220DB000188,188,Doyle's Corner,,53.360121,-6.272583,,,,
8220DB000189,189,Phibsborough Road,,53.357167,-6.273469,,,,
8220DB000190,190,Broadstone,,53.3551257304144,-6.27337107400574,,,,
8220DB000191,191,Western Way,,53.3550179485755,-6.26903378050291,,,,
8220DB000192,192,Mountjoy Street,,53.3563972112359,-6.26807646963914,,,,
8220DB000193,193,Finglas Park,,53.3911963059787,-6.29410403487394,,,,
8220DB000194,194,Western Way,,53.3550406495518,-6.26997931103774,,,,
8220DB000195,195,Broadstone,,53.3550117778767,-6.27357097973096,,,,
8220DB000196,196,Phibsborough Road,,53.356884,-6.273751,,,,
8220DB000197,197,Monck Place,,53.358952631612,-6.27323137351172,,,,
8220DB000198,198,Doyle's Corner,,53.361625,-6.272838,,,,
8220DB000199,199,Munster Street,,53.3636218114982,-6.27229124622519,,,,
8220DB000200,200,Prospect Way,,53.367423,-6.271596,,,,
8220DB000201,201,Wayfinding Centre,,53.368291,-6.270119,,,,
8220DB000202,202,Fairfield Road,,53.37008,-6.268904,,,,
8220DB000203,203,Whitehall Village,,53.376393,-6.25001,,,,
8220DB000204,204,Plunket College,,53.379588,-6.246662,,,,
8220DB000205,205,Iveragh Road,,53.381375,-6.245326,,,,
8220DB000206,206,Collins Avenue West,,53.383546,-6.247477,,,,
